Curs,Codi centre,Denominació completa,"Codi naturalesa (1,2)",Nom naturalesa,Codi titularitat,Nom titularitat,Codi delegació,Nom delegació,Codi comarca,Nom comarca,Codi municipi_5,Nom municipi,Codi ensenyament,Nom ensenyament,Torn,Nivell,Nombre grups,Nombre places,Places ofertades a la preinscripció
2024/2025,43009187,Institut Martí l'Humà,1,Públic,01,Departament d'Educació,0143,Tarragona,16,Conca de Barberà,43086,Montblanc,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,17
2024/2025,43009187,Institut Martí l'Humà,1,Públic,01,Departament d'Educació,0143,Tarragona,16,Conca de Barberà,43086,Montblanc,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,60
2024/2025,43008638,Institut Antoni Ballester,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43092,Mont-roig del Camp,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,15
2024/2025,43008638,Institut Antoni Ballester,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43092,Mont-roig del Camp,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,62
2024/2025,43008523,Institut Vila-seca,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43171,Vila-seca,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,13
2024/2025,43008523,Institut Vila-seca,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43171,Vila-seca,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,70,0
2024/2025,43008511,Institut Joan Puig i Ferreter,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43145,La Selva del Camp,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,15
2024/2025,43008511,Institut Joan Puig i Ferreter,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43145,La Selva del Camp,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,12
2024/2025,43008481,Institut Collblanc,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43907,La Canonja,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,21
2024/2025,43008481,Institut Collblanc,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43907,La Canonja,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43008456,Institut Les Planes,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43138,Santa Bàrbara,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,7
2024/2025,43008456,Institut Les Planes,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43138,Santa Bàrbara,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,5
2024/2025,43008444,Institut Josep Tapiró,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,24
2024/2025,43008444,Institut Josep Tapiró,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,22
